sepal.length,sepal.width,petal.length,petal.width,variety,,original_num,sepal-length,sepal-width,petal-length,petal-width,Class,Class-label,label-SL,label-SW,label-PL,label-PW,Q2(2):,SL,SW,PL,PW,Q2(3):,123 SL,124 SW,134 PL,234 PW,Q3(1):,SL,SW,PL,PW
5.1,3.5,1.4,0.2,setosa,,68,6.2,2.2,4.5,1.5,Iris-versicolor,0,0,1,1,1,,TN,FP,FP,FP,,0,1,1,1,,,,,
4.9,3,1.4,0.2,setosa,,94,5.6,2.7,4.2,1.3,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
4.7,3.2,1.3,0.2,setosa,,88,5.6,3,4.1,1.3,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
4.6,3.1,1.5,0.2,setosa,,95,5.7,3,4.2,1.2,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5,3.6,1.4,0.2,setosa,,89,5.5,2.5,4,1.3,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5.4,3.9,1.7,0.4,setosa,,120,6.9,3.2,5.7,2.3,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
4.6,3.4,1.4,0.3,setosa,,144,6.7,3.3,5.7,2.5,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
5,3.4,1.5,0.2,setosa,,80,5.5,2.4,3.8,1.1,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
4.4,2.9,1.4,0.2,setosa,,121,5.6,2.8,4.9,2,Iris-virginica,1,1,1,1,1,,TP,TP,TP,TP,,1,1,1,1,,,,,
4.9,3.1,1.5,0.1,setosa,,96,5.7,2.9,4.2,1.3,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5.4,3.7,1.5,0.2,setosa,,106,4.9,2.5,4.5,1.7,Iris-virginica,1,1,1,1,1,,TP,TP,TP,TP,,1,1,1,1,,,,,
4.8,3.4,1.6,0.2,setosa,,130,7.4,2.8,6.1,1.9,Iris-virginica,1,0,1,0,1,,FN,TP,FN,TP,,0,1,1,1,,,,,
4.8,3,1.4,0.1,setosa,,141,6.9,3.1,5.1,2.3,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
4.3,3,1.1,0.1,setosa,,138,6,3,4.8,1.8,Iris-virginica,1,1,1,1,1,,TP,TP,TP,TP,,1,1,1,1,,,,,
5.8,4,1.2,0.2,setosa,,69,5.6,2.5,3.9,1.1,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5.7,4.4,1.5,0.4,setosa,,131,7.9,3.8,6.4,2,Iris-virginica,1,0,0,0,1,,FN,FN,FN,TP,,0,1,1,1,,,,,
5.4,3.9,1.3,0.4,setosa,,105,7.6,3,6.6,2.1,Iris-virginica,1,0,1,0,0,,FN,TP,FN,FN,,0,1,1,1,,,,,
5.1,3.5,1.4,0.3,setosa,,139,6.9,3.1,5.4,2.1,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
5.7,3.8,1.7,0.3,setosa,,111,6.4,2.7,5.3,1.9,Iris-virginica,1,0,1,0,1,,FN,TP,FN,TP,,0,1,1,1,,,,,
5.1,3.8,1.5,0.3,setosa,,115,6.4,3.2,5.3,2.3,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
5.4,3.4,1.7,0.2,setosa,,97,6.2,2.9,4.3,1.3,Iris-versicolor,0,0,1,1,1,,TN,FP,FP,FP,,0,1,1,1,,,,,
5.1,3.7,1.5,0.4,setosa,,99,5.7,2.8,4.1,1.3,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
4.6,3.6,1,0.2,setosa,,57,4.9,2.4,3.3,1,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5.1,3.3,1.7,0.5,setosa,,147,6.5,3,5.2,2,Iris-virginica,1,0,1,0,1,,FN,TP,FN,TP,,0,1,1,1,,,,,
4.8,3.4,1.9,0.2,setosa,,109,7.2,3.6,6.1,2.5,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
5,3,1.6,0.2,setosa,,145,6.7,3,5.2,2.3,Iris-virginica,1,0,1,0,0,,FN,TP,FN,FN,,0,1,1,1,,,,,
5,3.4,1.6,0.4,setosa,,63,6.1,2.9,4.7,1.4,Iris-versicolor,0,0,1,1,1,,TN,FP,FP,FP,,0,1,1,1,,,,,
5.2,3.5,1.5,0.2,setosa,,51,6.4,3.2,4.5,1.5,Iris-versicolor,0,0,0,1,1,,TN,TN,FP,FP,,0,1,1,1,,,,,
5.2,3.4,1.4,0.2,setosa,,81,5.5,2.4,3.7,1,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
4.7,3.2,1.6,0.2,setosa,,54,6.5,2.8,4.6,1.5,Iris-versicolor,0,0,1,1,1,,TN,FP,FP,FP,,0,1,1,1,,,,,
4.8,3.1,1.6,0.2,setosa,,77,6.7,3,5,1.7,Iris-versicolor,0,0,1,1,1,,TN,FP,FP,FP,,0,1,1,1,,,,,
5.4,3.4,1.5,0.4,setosa,,52,6.9,3.1,4.9,1.5,Iris-versicolor,0,0,0,1,1,,TN,TN,FP,FP,,0,1,1,1,,,,,
5.2,4.1,1.5,0.1,setosa,,59,5.2,2.7,3.9,1.4,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5.5,4.2,1.4,0.2,setosa,,66,5.6,3,4.5,1.5,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
4.9,3.1,1.5,0.2,setosa,,108,6.7,2.5,5.8,1.8,Iris-virginica,1,0,1,0,1,,FN,TP,FN,TP,,0,1,1,1,,,,,
5,3.2,1.2,0.2,setosa,,110,6.5,3.2,5.1,2,Iris-virginica,1,0,0,0,1,,FN,FN,FN,TP,,0,1,1,1,,,,,
5.5,3.5,1.3,0.2,setosa,,65,6.7,3.1,4.4,1.4,Iris-versicolor,0,0,0,1,1,,TN,TN,FP,FP,,0,1,1,1,,,,,
4.9,3.6,1.4,0.1,setosa,,148,6.2,3.4,5.4,2.3,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
4.4,3,1.3,0.2,setosa,,84,5.4,3,4.5,1.5,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5.1,3.4,1.5,0.2,setosa,,64,5.6,2.9,3.6,1.3,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5,3.5,1.3,0.3,setosa,,116,6.5,3,5.5,1.8,Iris-virginica,1,0,1,0,1,,FN,TP,FN,TP,,0,1,1,1,,,,,
4.5,2.3,1.3,0.3,setosa,,103,6.3,2.9,5.6,1.8,Iris-virginica,1,0,1,0,1,,FN,TP,FN,TP,,0,1,1,1,,,,,
4.4,3.2,1.3,0.2,setosa,,102,7.1,3,5.9,2.1,Iris-virginica,1,0,1,0,0,,FN,TP,FN,FN,,0,1,1,1,,,,,
5,3.5,1.6,0.6,setosa,,60,5,2,3.5,1,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
5.1,3.8,1.9,0.4,setosa,,98,5.1,2.5,3,1.1,Iris-versicolor,0,1,1,1,1,,FP,FP,FP,FP,,1,1,1,1,,,,,
4.8,3,1.4,0.3,setosa,,129,7.2,3,5.8,1.6,Iris-virginica,1,0,1,0,1,,FN,TP,FN,TP,,0,1,1,1,,,,,
5.1,3.8,1.6,0.2,setosa,,137,6.4,3.1,5.5,1.8,Iris-virginica,1,0,0,0,1,,FN,FN,FN,TP,,0,1,1,1,,,,,
4.6,3.2,1.4,0.2,setosa,,117,7.7,3.8,6.7,2.2,Iris-virginica,1,0,0,0,0,,FN,FN,FN,FN,,0,1,1,1,,,,,
5.3,3.7,1.5,0.2,setosa,,74,6.4,2.9,4.3,1.3,Iris-versicolor,0,0,1,1,1,,TN,FP,FP,FP,,0,1,1,1,,,,,
5,3.3,1.4,0.2,setosa,,58,6.6,2.9,4.6,1.3,Iris-versicolor,0,0,1,1,1,,TN,FP,FP,FP,,0,1,1,1,,,,,
7,3.2,4.7,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,3.2,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,4.9,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.3,4,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,2.8,4.6,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.8,4.5,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,3.3,4.7,1.6,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,2.4,3.3,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,2.9,4.6,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2,2.7,3.9,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,3.5,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,3,4.2,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.2,4,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,2.9,4.7,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.9,3.6,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,4.4,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,3,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,4.1,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,2.2,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.5,3.9,1.1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,3.2,4.8,1.8,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,2.8,4,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.5,4.9,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,2.8,4.7,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.9,4.3,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,3,4.4,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,2.8,4.8,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3,5,1.7,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.9,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.6,3.5,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.4,3.8,1.1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.4,3.7,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,3.9,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.7,5.1,1.6,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,3,4.5,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.4,4.5,1.6,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,4.7,1.5,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.3,4.4,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,3,4.1,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.5,4,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,2.6,4.4,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,3,4.6,1.4,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.6,4,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.3,3.3,1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.7,4.2,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,3,4.2,1.2,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.9,4.2,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,2.9,4.3,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,2.5,3,1.1,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.8,4.1,1.3,versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,3.3,6,2.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,3,5.9,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.9,5.6,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.8,2.2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,3,6.6,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,2.5,4.5,1.7,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3,2.9,6.3,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,2.5,5.8,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,3.6,6.1,2.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3.2,5.1,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.7,5.3,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,3,5.5,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.5,5,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.8,5.1,2.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,3.2,5.3,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.5,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,3.8,6.7,2.2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,2.6,6.9,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.2,5,1.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,3.2,5.7,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,2.8,4.9,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,2.8,6.7,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.7,4.9,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.3,5.7,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,3.2,6,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,2.8,4.8,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,3,4.9,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.8,5.6,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,3,5.8,1.6,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,2.8,6.1,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9,3.8,6.4,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,2.8,5.6,2.2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.8,5.1,1.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,2.6,5.6,1.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,3,6.1,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,3.4,5.6,2.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,3.1,5.5,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,4.8,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,5.4,2.1,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.1,5.6,2.4,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,3.1,5.1,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,3.2,5.9,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3.3,5.7,2.5,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,3,5.2,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,2.5,5,1.9,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,3,5.2,2,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,3.4,5.4,2.3,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,3,5.1,1.8,virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.262,2.872,4.906,1.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.662834,0.332751,0.825578,0.424769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM,SL,SW,PL,PW,CLASS,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6.3,2.3,4.4,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6.8,3,5.5,2.1,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6.8,2.8,4.8,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6.1,3,4.6,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
85,6,3.4,4.5,1.6,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6.6,3,4.4,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
86,6.7,3.1,4.7,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6,2.7,5.1,1.6,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
127,6.1,3,4.9,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6.1,2.8,4,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
135,7.7,3,6.1,2.3,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6.3,3.3,6,2.5,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5.8,2.7,5.1,1.9,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6,2.2,5,1.5,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
146,6.3,2.5,5,1.9,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6.4,2.8,5.6,2.1,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
122,7.7,2.8,6.7,2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5.7,2.8,4.5,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5.5,2.6,4.4,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5.9,3,4.2,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5.7,2.6,3.5,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6.3,2.8,5.1,1.5,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6.4,2.8,5.6,2.2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
93,5,2.3,3.3,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6,2.9,4.5,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6.3,2.5,4.9,1.5,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6.1,2.8,4.7,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6.7,3.1,5.6,2.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6.3,3.4,5.6,2.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5.9,3.2,4.8,1.8,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
82,5.8,2.7,3.9,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6.3,3.3,4.7,1.6,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5.5,2.3,4,1.3,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6,2.2,4,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.8,2.7,5.1,1.9,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
134,6.1,2.6,5.6,1.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6.3,2.7,4.9,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.8,2.8,5.1,2.4,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6.5,3,5.8,2.2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
118,7.7,2.6,6.9,2.3,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
125,7.2,3.2,6,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6.7,3.3,5.7,2.1,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
107,7.3,2.9,6.3,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5.8,2.6,4,1.2,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6.2,2.8,4.8,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
149,5.9,3,5.1,1.8,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5.8,2.7,4.1,1,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
143,6.8,3.2,5.9,2.3,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.7,2.5,5,2,Iris-virginica,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,3.2,4.7,1.4,Iris-versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,
